,index,date,open,low,high,close,volume,symbol,vendor_name
1009,1009,2023-08-02 12:13:00,326.65,326.63,327.02,326.96,77049,MSFT,financial modeling prep
1010,1010,2023-08-02 12:12:00,326.61,326.41,326.74,326.645,123591,MSFT,financial modeling prep
1011,1011,2023-08-02 12:11:00,327.04,326.6,327.07,326.62,117162,MSFT,financial modeling prep
1012,1012,2023-08-02 12:10:00,327.22,327.04,327.4,327.055,76061,MSFT,financial modeling prep
1013,1013,2023-08-02 12:09:00,327.29,327.13,327.3,327.22,62476,MSFT,financial modeling prep
1014,1014,2023-08-02 12:08:00,327.39,327.29,327.49,327.29,65016,MSFT,financial modeling prep
1015,1015,2023-08-02 12:07:00,327.21,327.1,327.51,327.4,107893,MSFT,financial modeling prep
1016,1016,2023-08-02 12:06:00,327.38,327.16,327.4,327.19,86734,MSFT,financial modeling prep
1017,1017,2023-08-02 12:05:00,327.53,327.28,327.57,327.395,118753,MSFT,financial modeling prep
1018,1018,2023-08-02 12:04:00,327.59,327.51,327.63,327.52,64755,MSFT,financial modeling prep
1019,1019,2023-08-02 12:03:00,327.83,327.59,327.84,327.61,73151,MSFT,financial modeling prep
1020,1020,2023-08-02 12:02:00,327.91,327.73,327.96,327.84,62336,MSFT,financial modeling prep
1021,1021,2023-08-02 12:01:00,328.1004,327.71,328.14,327.91,185268,MSFT,financial modeling prep
1022,1022,2023-08-02 12:00:00,328.045,328.01,328.2293,328.1,48174,MSFT,financial modeling prep
1023,1023,2023-08-02 11:59:00,328.14,328.05,328.29,328.05,50124,MSFT,financial modeling prep
1024,1024,2023-08-02 11:58:00,328.21,328.1,328.25,328.16,66369,MSFT,financial modeling prep
1025,1025,2023-08-02 11:57:00,328.5151,328.21,328.57,328.21,69648,MSFT,financial modeling prep
1026,1026,2023-08-02 11:56:00,328.51,328.4,328.635,328.52,58890,MSFT,financial modeling prep
1027,1027,2023-08-02 11:55:00,328.79,328.44,328.82,328.5201,81079,MSFT,financial modeling prep
1028,1028,2023-08-02 11:54:00,328.855,328.72,329.06,328.79,41009,MSFT,financial modeling prep
1029,1029,2023-08-02 11:53:00,329.0,328.72,329.0,328.81,65638,MSFT,financial modeling prep
1030,1030,2023-08-02 11:52:00,329.03,328.95,329.1899,329.02,38829,MSFT,financial modeling prep
1031,1031,2023-08-02 11:51:00,328.9602,328.85,329.07,329.07,41143,MSFT,financial modeling prep
1032,1032,2023-08-02 11:50:00,329.2,328.92,329.23,328.96,33582,MSFT,financial modeling prep
1033,1033,2023-08-02 11:49:00,328.99,328.88,329.2692,329.17,53907,MSFT,financial modeling prep
1034,1034,2023-08-02 11:48:00,329.51,328.985,329.52,329.0,83074,MSFT,financial modeling prep
1035,1035,2023-08-02 11:47:00,329.55,329.42,329.62,329.5,38518,MSFT,financial modeling prep
1036,1036,2023-08-02 11:46:00,329.385,329.32,329.69,329.57,35876,MSFT,financial modeling prep
1037,1037,2023-08-02 11:45:00,329.44,329.32,329.4899,329.4167,31117,MSFT,financial modeling prep
1038,1038,2023-08-02 11:44:00,329.35,329.31,329.57,329.4588,38680,MSFT,financial modeling prep
1039,1039,2023-08-02 11:43:00,329.285,329.26,329.43,329.3459,44063,MSFT,financial modeling prep
1040,1040,2023-08-02 11:42:00,329.46,329.27,329.47,329.32,35417,MSFT,financial modeling prep
1041,1041,2023-08-02 11:41:00,329.49,329.34,329.5531,329.48,43641,MSFT,financial modeling prep
1042,1042,2023-08-02 11:40:00,329.515,329.42,329.56,329.53,32142,MSFT,financial modeling prep
1043,1043,2023-08-02 11:39:00,329.715,329.33,329.715,329.5,60582,MSFT,financial modeling prep
1044,1044,2023-08-02 11:38:00,329.53,329.5,329.77,329.7,54455,MSFT,financial modeling prep
1045,1045,2023-08-02 11:37:00,329.45,329.34,329.62,329.54,58621,MSFT,financial modeling prep
1046,1046,2023-08-02 11:36:00,329.0,328.94,329.45,329.44,97828,MSFT,financial modeling prep
1047,1047,2023-08-02 11:35:00,329.09,328.98,329.19,329.0,68660,MSFT,financial modeling prep
1048,1048,2023-08-02 11:34:00,328.92,328.88,329.11,329.08,43191,MSFT,financial modeling prep
1049,1049,2023-08-02 11:33:00,328.95,328.86,329.03,328.95,43409,MSFT,financial modeling prep
1050,1050,2023-08-02 11:32:00,328.985,328.8321,329.12,328.94,66577,MSFT,financial modeling prep
1051,1051,2023-08-02 11:31:00,329.07,328.86,329.225,328.99,80800,MSFT,financial modeling prep
1052,1052,2023-08-02 11:30:00,329.2405,329.0,329.3,329.11,81883,MSFT,financial modeling prep
1053,1053,2023-08-02 11:29:00,329.425,329.22,329.51,329.24,47733,MSFT,financial modeling prep
1054,1054,2023-08-02 11:28:00,329.68,329.43,329.76,329.43,33862,MSFT,financial modeling prep
1055,1055,2023-08-02 11:27:00,329.52,329.48,329.8,329.7,41499,MSFT,financial modeling prep
1056,1056,2023-08-02 11:26:00,329.41,329.3,329.7455,329.5104,43850,MSFT,financial modeling prep
1057,1057,2023-08-02 11:25:00,329.89,329.29,329.94,329.47,52706,MSFT,financial modeling prep
1058,1058,2023-08-02 11:24:00,329.68,329.6,329.96,329.875,66726,MSFT,financial modeling prep
1059,1059,2023-08-02 11:23:00,329.5112,329.498,329.73,329.66,49230,MSFT,financial modeling prep
1060,1060,2023-08-02 11:22:00,329.5899,329.43,329.7859,329.5,69148,MSFT,financial modeling prep
1061,1061,2023-08-02 11:21:00,329.67,329.37,329.69,329.555,65254,MSFT,financial modeling prep
1062,1062,2023-08-02 11:20:00,329.82,329.615,329.83,329.675,31088,MSFT,financial modeling prep
1063,1063,2023-08-02 11:19:00,329.84,329.79,329.95,329.8099,27375,MSFT,financial modeling prep
1064,1064,2023-08-02 11:18:00,330.02,329.75,330.09,329.82,55597,MSFT,financial modeling prep
1065,1065,2023-08-02 11:17:00,329.93,329.7907,330.02,330.02,72542,MSFT,financial modeling prep
1066,1066,2023-08-02 11:16:00,330.21,329.87,330.22,329.88,70581,MSFT,financial modeling prep
1067,1067,2023-08-02 11:15:00,330.45,330.21,330.465,330.23,36281,MSFT,financial modeling prep
1068,1068,2023-08-02 11:14:00,330.24,330.14,330.4607,330.41,44775,MSFT,financial modeling prep
1069,1069,2023-08-02 11:13:00,330.34,330.21,330.46,330.22,38005,MSFT,financial modeling prep
1070,1070,2023-08-02 11:12:00,330.43,330.28,330.4548,330.34,94130,MSFT,financial modeling prep
1071,1071,2023-08-02 11:11:00,330.195,330.18,330.47,330.4583,46986,MSFT,financial modeling prep
1072,1072,2023-08-02 11:10:00,329.89,329.84,330.21,330.21,75991,MSFT,financial modeling prep
1073,1073,2023-08-02 11:09:00,329.7,329.64,329.93,329.914,46006,MSFT,financial modeling prep
