,date,macroeconomics_indicator,United States,China
346,1990-04-01,RGDP,9.398242999999999,
347,1990-04-01,CPI,1.2890000000000001e-10,
348,1990-07-01,RGDP,9.404494,
349,1990-07-01,CPI,1.305e-10,
350,1990-10-01,RGDP,9.318876,
351,1990-10-01,CPI,1.334e-10,
352,1991-01-01,RGDP,9.275276,
353,1991-01-01,CPI,1.3469999999999998e-10,
354,1991-04-01,RGDP,9.347597,
355,1991-04-01,CPI,1.351e-10,
356,1991-07-01,RGDP,9.394834,
357,1991-07-01,CPI,1.3619999999999998e-10,
358,1991-10-01,RGDP,9.427581,
359,1991-10-01,CPI,1.3719999999999998e-10,
360,1992-01-01,RGDP,9.540443999999999,
361,1992-01-01,CPI,1.383e-10,
362,1992-04-01,RGDP,9.643893,
363,1992-04-01,CPI,1.394e-10,
364,1992-07-01,RGDP,9.739184999999999,
365,1992-07-01,CPI,1.405e-10,
366,1992-10-01,RGDP,9.840753,
367,1992-10-01,CPI,1.4169999999999999e-10,
368,1993-01-01,RGDP,9.857185,
369,1993-01-01,CPI,1.4280000000000001e-10,
370,1993-04-01,RGDP,9.914565,
371,1993-04-01,CPI,1.438e-10,
372,1993-07-01,RGDP,9.961873,
373,1993-07-01,CPI,1.445e-10,
374,1993-10-01,RGDP,10.097362,
375,1993-10-01,CPI,1.456e-10,
376,1994-01-01,RGDP,10.195338,
377,1994-01-01,CPI,1.463e-10,
378,1994-04-01,RGDP,10.333495,
379,1994-04-01,CPI,1.472e-10,
380,1994-07-01,RGDP,10.393898,
381,1994-07-01,CPI,1.484e-10,
382,1994-10-01,RGDP,10.512962,
383,1994-10-01,CPI,1.494e-10,
384,1995-01-01,RGDP,10.550251,
385,1995-01-01,CPI,1.505e-10,
386,1995-04-01,RGDP,10.581723,
387,1995-04-01,CPI,1.518e-10,
388,1995-07-01,RGDP,10.671738,
389,1995-07-01,CPI,1.526e-10,
390,1995-10-01,RGDP,10.744203,
391,1995-10-01,CPI,1.5349999999999999e-10,
392,1996-01-01,RGDP,10.824674,
393,1996-01-01,CPI,1.547e-10,
394,1996-04-01,RGDP,11.005217,
395,1996-04-01,CPI,1.5609999999999998e-10,
396,1996-07-01,RGDP,11.103935,
397,1996-07-01,CPI,1.57e-10,
398,1996-10-01,RGDP,11.219237999999999,
399,1996-10-01,CPI,1.5819999999999998e-10,
400,1997-01-01,RGDP,11.291665,
401,1997-01-01,CPI,1.5940000000000001e-10,
